year_month,severity,count
2025-11,None,11
2025-12,Minor,6
2025-12,None,8
2026-01,Minor,10
2026-01,None,6
2026-02,Major,1
2026-02,Minor,7
2026-02,None,7
2026-03,Major,2
2026-03,Minor,11
2026-03,None,10
2026-04,Major,4
2026-04,Minor,24
2026-04,None,12
2026-05,Major,3
2026-05,Minor,31
2026-05,None,17
2026-06,Fatal,3
2026-06,Major,2
2026-06,Minor,30
2026-06,None,22
2026-07,Major,5
2026-07,Minor,31
2026-07,None,16
2026-08,Fatal,1
2026-08,Major,2
2026-08,Minor,21
2026-08,None,12
2026-09,Minor,19
2026-09,None,5
