CRIMEID,CCN,PERSONID,PERSONTYPE,AGE,age_band,FATAL,MAJORINJURY,MINORINJURY,severity,IMPAIRED,SPEEDING,TICKETISSUED,INVEHICLETYPE,match_source,year_ccn,year,year_month,ward,date_source
28000961,19056804,88272859,Driver,16,16-24,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2019,2019,2019-04,Ward 6,reportdate
27221812,17028115,85391436,Driver,0,<16,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2017,2017,2017-02,Ward 6,reportdate
28176907,19171407,88953766,Driver,49,45-54,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2019,2019,2019-09,Ward 6,reportdate
24709383,13119386,84741640,Driver,59,55-64,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2013,2013,2013-08,Ward 7,reportdate
28806845,21081218,91016126,Driver,23,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2021,2021,2021-06,Ward 7,reportdate
28474682,20103981,90007583,Driver,26,25-34,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2020,2020,2020-07,Ward 5,reportdate
25264871,15061037,84955803,Driver,52,45-54,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2015,2015,2015-04,Ward 5,reportdate
26633375,10086479,84880573,Driver,25,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2010,2010,2010-06,Ward 2,reportdate
28039763,19082113,88419483,Driver,38,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-05,Ward 1,reportdate
27072646,16160908,84667855,Driver,37,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2016,2016,2016-09,Ward 3,reportdate
26981828,16102891,84784868,Driver,25,25-34,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2016,2016,2016-06,Ward 4,reportdate
27726787,18109355,87242877,Driver,45,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-07,Ward 5,reportdate
28127878,19139703,88760803,Driver,15,<16,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2019,2019,2019-08,Ward 1,reportdate
28201651,19188123,89051275,Driver,30,25-34,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2019,2019,2019-10,Ward 3,reportdate
28766771,21059264,90891183,Driver,28,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2021,2021,2021-05,Ward 6,reportdate
24615209,13071826,85034621,Driver,49,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2013,2013,2013-05,Ward 5,reportdate
26893637,16047005,84609311,Driver,41,35-44,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2016,2016,2016-03,Ward 6,reportdate
27007555,16119325,84672290,Driver,46,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2016,2016,2016-07,Ward 1,reportdate
25311310,15109025,84933837,Driver,51,45-54,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2015,2015,2015-07,Ward 7,reportdate
27529962,17218898,86538780,Driver,46,45-54,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2017,2017,2017-12,Ward 2,reportdate
28081633,19109342,88581669,Driver,45,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-06,Ward 4,reportdate
28318598,20027867,89493036,Driver,36,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-02,Ward 4,reportdate
28375655,20058078,89707458,Passenger,14,<16,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-04,Ward 6,reportdate
28151802,19155129,88855936,Driver,54,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-09,Ward 2,reportdate
26621558,11049743,84607732,Driver,26,25-34,N,N,Y,Minor,N,Y,N,Moped/scooter,moped_scooter,2011,2011,2011-04,Ward 4,reportdate
26756886,15181139,84754365,Driver,28,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2015,2015,2015-11,Ward 2,reportdate
28846784,21104266,91147287,Driver,46,45-54,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2021,2021,2021-07,Ward 1,reportdate
28531697,20131904,90179765,Driver,22,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-09,Ward 3,reportdate
28584789,20159388,90351217,Driver,31,25-34,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2020,2020,2020-11,Ward 4,reportdate
28840657,21100712,91128923,Driver,0,<16,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2021,2021,2021-07,Ward 1,reportdate
27220712,17027430,85387625,Driver,38,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2017,2017,2017-02,Ward 2,reportdate
28443699,20090170,89914128,Driver,43,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-06,Ward 1,reportdate
28710729,21032192,90719935,Driver,57,55-64,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2021,2021,2021-03,Ward 6,reportdate
26918470,16062009,84628994,Driver,25,25-34,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2016,2016,2016-04,Ward 1,reportdate
26609312,09175885,84822369,Driver,27,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2009,2009,2009-12,Ward 2,reportdate
26722614,15160757,84652835,Driver,30,25-34,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2015,2015,2015-10,Ward 2,reportdate
27705778,18095820,87164162,Driver,22,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-06,Ward 4,reportdate
28636689,20183853,90497848,Driver,33,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-12,Ward 7,reportdate
27933720,19015438,88020925,Driver,35,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-01,Ward 1,reportdate
27974074,19039780,88167956,Driver,43,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-03,Ward 2,reportdate
28514890,20123574,90131232,Driver,29,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-08,Ward 1,reportdate
26624988,12049685,84820028,Driver,20,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2012,2012,2012-04,Null,reportdate
28076183,19105784,88559034,Driver,23,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-06,Ward 5,reportdate
28005838,19058645,88291696,Driver,39,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-04,Ward 4,reportdate
26686781,15142295,84861254,Driver,28,25-34,N,Y,N,Major,N,N,Y,Moped/scooter,moped_scooter,2015,2015,2015-09,Ward 7,reportdate
25016903,14083155,84966148,Driver,18,16-24,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2014,2014,2014-06,Ward 8,reportdate
25225521,15019966,84646049,Driver,39,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2015,2015,2015-02,Ward 5,reportdate
27707794,18097256,87171335,Driver,28,25-34,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2018,2018,2018-06,Ward 1,reportdate
28515827,20124013,90130759,Driver,17,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-08,Ward 3,reportdate
26489956,11096920,84612805,Driver,27,25-34,N,Y,N,Major,N,Y,N,Moped/scooter,moped_scooter,2011,2011,2011-06,Ward 5,reportdate
28314993,20025732,89477996,Driver,40,35-44,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2020,2020,2020-02,Ward 3,reportdate
28840017,21100513,91125424,Driver,31,25-34,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2021,2021,2021-07,Ward 5,reportdate
28479943,20106523,90022954,Driver,23,16-24,N,N,Y,Minor,Y,N,Y,Moped/scooter,moped_scooter,2020,2020,2020-07,Ward 1,reportdate
26639122,11123566,84571673,Driver,27,25-34,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2011,2011,2011-08,Ward 5,reportdate
26973665,16097035,84922157,Driver,26,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2016,2016,2016-06,Ward 3,reportdate
27307083,17079451,85706631,Driver,18,16-24,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2017,2017,2017-05,Ward 6,reportdate
28167902,19165840,88916120,Driver,21,16-24,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2019,2019,2019-09,Ward 1,reportdate
24974181,13149720,84621991,Driver,47,45-54,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2013,2013,2013-10,Ward 6,reportdate
